"","symboling","normalized.losses","make","aspiration","num.of.doors","body.style","drive.wheels","engine.location","wheel.base","length","width","height","curb.weight","engine.type","num.of.cylinders","engine.size","fuel.system","bore","stroke","compression.ratio","horsepower","peak.rpm","city.mpg","highway.mpg","price","city.L.100km","highway.L.100km","price_binned","diesel","gas","normalized_length","normalized_width","normalized_height"
"45",0,145,"jaguar","std","four","sedan","rwd","front",113,199.6,69.6,52.8,4066,"dohc",">= five",258,"mpfi",3.63,4.17,8.1,176,4750,15,19,32250,15.6666666666667,12.3684210526316,"Mid->High","No","Yes",2.06124363473968,1.76587999250338,-0.394908863050245
"46",0,NA,"jaguar","std","four","sedan","rwd","front",113,199.6,69.6,52.8,4066,"dohc",">= five",258,"mpfi",3.63,4.17,8.1,176,4750,15,19,35550,15.6666666666667,12.3684210526316,"Mid->High","No","Yes",2.06124363473968,1.76587999250338,-0.394908863050245
"47",0,NA,"jaguar","std","two","sedan","rwd","front",102,191.7,70.6,47.8,3950,"ohc","twelve",326,"mpfi",3.54,2.76,11.5,262,5000,13,17,36000,18.0769230769231,13.8235294117647,"Mid->High","No","Yes",1.42012305815048,2.24173718313641,-2.43754091331002
"48",1,104,"mazda","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1890,"ohc","<= four",91,"2bbl",3.03,3.15,9,68,5000,30,31,5195,7.83333333333333,7.58064516129032,"Low","No","Yes",-1.22551375157202,-0.803748836914979,0.136175470017299
"49",1,104,"mazda","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1900,"ohc","<= four",91,"2bbl",3.03,3.15,9,68,5000,31,38,6095,7.58064516129032,6.18421052631579,"Low","No","Yes",-1.22551375157202,-0.803748836914979,0.136175470017299
"50",1,104,"mazda","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1905,"ohc","<= four",91,"2bbl",3.03,3.15,9,68,5000,31,38,6795,7.58064516129032,6.18421052631579,"Low","No","Yes",-1.22551375157202,-0.803748836914979,0.136175470017299
"51",1,113,"mazda","std","four","sedan","fwd","front",93.1,166.8,64.2,54.1,1945,"ohc","<= four",91,"2bbl",3.03,3.15,9,68,5000,31,38,6695,7.58064516129032,6.18421052631579,"Low","No","Yes",-0.600624075655969,-0.803748836914979,0.136175470017299
"52",1,113,"mazda","std","four","sedan","fwd","front",93.1,166.8,64.2,54.1,1950,"ohc","<= four",91,"2bbl",3.08,3.15,9,68,5000,31,38,7395,7.58064516129032,6.18421052631579,"Low","No","Yes",-0.600624075655969,-0.803748836914979,0.136175470017299
"53",3,150,"mazda","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2380,"dohc","<= four",70,"4bbl",NA,NA,9.4,101,6000,17,23,10945,13.8235294117647,10.2173913043478,"Low","No","Yes",-0.422084168251384,-0.0899630509654332,-1.7021933752165
"54",3,150,"mazda","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2380,"dohc","<= four",70,"4bbl",NA,NA,9.4,101,6000,17,23,11845,13.8235294117647,10.2173913043478,"Low","No","Yes",-0.422084168251384,-0.0899630509654332,-1.7021933752165
"55",3,150,"mazda","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2385,"dohc","<= four",70,"4bbl",NA,NA,9.4,101,6000,17,23,13645,13.8235294117647,10.2173913043478,"Low","No","Yes",-0.422084168251384,-0.0899630509654332,-1.7021933752165
"56",3,150,"mazda","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2500,"dohc","<= four",80,"mpfi",NA,NA,9.4,135,6000,16,23,15645,14.6875,10.2173913043478,"Low","No","Yes",-0.422084168251384,-0.0899630509654332,-1.7021933752165
"57",1,129,"mazda","std","two","hatchback","fwd","front",98.8,177.8,66.5,53.7,2385,"ohc","<= four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,8845,9.03846153846154,7.34375,"Low","No","Yes",0.292075461366963,0.29072270154099,-0.0272350940034825
"58",0,115,"mazda","std","four","sedan","fwd","front",98.8,177.8,66.5,55.5,2410,"ohc","<= four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,8495,9.03846153846154,7.34375,"Low","No","Yes",0.292075461366963,0.29072270154099,0.708112444090036
"59",1,129,"mazda","std","two","hatchback","fwd","front",98.8,177.8,66.5,53.7,2385,"ohc","<= four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,10595,9.03846153846154,7.34375,"Low","No","Yes",0.292075461366963,0.29072270154099,-0.0272350940034825
"60",0,115,"mazda","std","four","sedan","fwd","front",98.8,177.8,66.5,55.5,2410,"ohc","<= four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,10245,9.03846153846154,7.34375,"Low","No","Yes",0.292075461366963,0.29072270154099,0.708112444090036
"61",0,NA,"mazda","std","two","sedan","fwd","front",98.8,177.8,66.5,55.5,2443,"ohc","<= four",122,"idi",3.39,3.39,22.7,64,4650,36,42,10795,6.52777777777778,5.59523809523809,"Low","Yes","No",0.292075461366963,0.29072270154099,0.708112444090036
"62",0,115,"mazda","std","four","hatchback","fwd","front",98.8,177.8,66.5,55.5,2425,"ohc","<= four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,11245,9.03846153846154,7.34375,"Low","No","Yes",0.292075461366963,0.29072270154099,0.708112444090036
"63",0,118,"mazda","std","four","sedan","rwd","front",104.9,175,66.1,54.4,2670,"ohc","<= four",140,"mpfi",3.76,3.16,8,120,5000,19,27,18280,12.3684210526316,8.7037037037037,"Low","No","Yes",0.0648428519429429,0.100379825287775,0.258733393032885
"64",0,NA,"mazda","std","four","sedan","rwd","front",104.9,175,66.1,54.4,2700,"ohc","<= four",134,"idi",3.43,3.64,22,72,4200,31,39,18344,7.58064516129032,6.02564102564103,"Low","Yes","No",0.0648428519429429,0.100379825287775,0.258733393032885
"65",-1,93,"mercedes-benz","turbo","four","sedan","rwd","front",110,190.9,70.3,56.5,3515,"ohc",">= five",183,"idi",3.58,3.64,21.5,123,4350,22,25,25552,10.6818181818182,9.4,"Mid->High","Yes","No",1.35519945545791,2.0989800259465,1.11663885414199
"66",-1,93,"mercedes-benz","turbo","four","sedan","rwd","front",110,190.9,70.3,58.7,3750,"ohc",">= five",183,"idi",3.58,3.64,21.5,123,4350,22,25,28248,10.6818181818182,9.4,"Mid->High","Yes","No",1.35519945545791,2.0989800259465,2.01539695625629
"67",0,93,"mercedes-benz","turbo","two","hatchback","rwd","front",106.7,187.5,70.3,54.9,3495,"ohc",">= five",183,"idi",3.58,3.64,21.5,123,4350,22,25,28176,10.6818181818182,9.4,"Mid->High","Yes","No",1.07927414401446,2.0989800259465,0.462996598058862
"68",-1,93,"mercedes-benz","turbo","four","sedan","rwd","front",115.6,202.6,71.7,56.3,3770,"ohc",">= five",183,"idi",3.58,3.64,21.5,123,4350,22,25,31600,10.6818181818182,9.4,"Mid->High","Yes","No",2.30470714483684,2.76518009283275,1.0349335721316
"69",-1,NA,"mercedes-benz","std","four","sedan","rwd","front",115.6,202.6,71.7,56.5,3740,"ohc",">= five",234,"mpfi",3.46,3.1,8.3,155,4750,16,18,34184,14.6875,13.0555555555556,"Mid->High","No","Yes",2.30470714483684,2.76518009283275,1.11663885414199
"70",3,142,"mercedes-benz","std","two","hatchback","rwd","front",96.6,180.3,70.5,50.8,3685,"ohc",">= five",234,"mpfi",3.46,3.1,8.3,155,4750,16,18,35056,14.6875,13.0555555555556,"Mid->High","No","Yes",0.494961719781266,2.19415146407311,-1.21196168315416
"71",0,NA,"mercedes-benz","std","four","sedan","rwd","front",120.9,208.1,71.7,56.7,3900,"ohc",">= five",308,"mpfi",3.8,3.35,8,184,4500,14,16,40960,16.7857142857143,14.6875,"Mid->High","No","Yes",2.75105691334831,2.76518009283275,1.19834413615238
"72",1,NA,"mercedes-benz","std","two","hatchback","rwd","front",112,199.2,72,55.4,3715,"ohc",">= five",304,"mpfi",3.8,3.35,8,184,4500,14,16,45400,16.7857142857143,14.6875,"Mid->High","No","Yes",2.02878183339339,2.90793725002266,0.66725980308484
"73",1,NA,"mercury","turbo","two","hatchback","rwd","front",102.7,178.4,68,54.8,2910,"ohc","<= four",140,"mpfi",3.78,3.12,8,175,5000,19,24,16503,12.3684210526316,9.79166666666667,"Low","No","Yes",0.340768163386395,1.00450848749054,0.422143957053666
"74",2,161,"mitsubishi","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,1918,"ohc","<= four",92,"2bbl",2.97,3.23,9.4,68,5500,37,41,5389,6.35135135135135,5.73170731707317,"Low","No","Yes",-1.37159185763032,-0.708577398788371,-1.21196168315416
"75",2,161,"mitsubishi","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,1944,"ohc","<= four",92,"2bbl",2.97,3.23,9.4,68,5500,31,38,6189,7.58064516129032,6.18421052631579,"Low","No","Yes",-1.37159185763032,-0.708577398788371,-1.21196168315416
"76",2,161,"mitsubishi","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,2004,"ohc","<= four",92,"2bbl",2.97,3.23,9.4,68,5500,31,38,6669,7.58064516129032,6.18421052631579,"Low","No","Yes",-1.37159185763032,-0.708577398788371,-1.21196168315416
"77",1,161,"mitsubishi","turbo","two","hatchback","fwd","front",93,157.3,63.8,50.8,2145,"ohc","<= four",98,"spdi",3.03,3.39,7.6,102,5500,24,30,7689,9.79166666666667,7.83333333333333,"Low","No","Yes",-1.37159185763032,-0.994091713168194,-1.21196168315416
"78",3,153,"mitsubishi","turbo","two","hatchback","fwd","front",96.3,173,65.4,49.4,2370,"ohc","<= four",110,"spdi",3.17,3.46,7.5,116,5500,23,30,9959,10.2173913043478,7.83333333333333,"Low","No","Yes",-0.0974661547884992,-0.232720208155341,-1.78389865722689
"79",3,153,"mitsubishi","std","two","hatchback","fwd","front",96.3,173,65.4,49.4,2328,"ohc","<= four",122,"2bbl",3.35,3.46,8.5,88,5000,25,32,8499,9.4,7.34375,"Low","No","Yes",-0.0974661547884992,-0.232720208155341,-1.78389865722689
"80",3,NA,"mitsubishi","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2833,"ohc","<= four",156,"spdi",3.58,3.86,7,145,5000,19,24,12629,12.3684210526316,9.79166666666667,"Low","No","Yes",-0.081235254115356,0.195551263414382,-1.45707752918533
"81",3,NA,"mitsubishi","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2921,"ohc","<= four",156,"spdi",3.59,3.86,7,145,5000,19,24,14869,12.3684210526316,9.79166666666667,"Low","No","Yes",-0.081235254115356,0.195551263414382,-1.45707752918533
"82",3,NA,"mitsubishi","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2926,"ohc","<= four",156,"spdi",3.59,3.86,7,145,5000,19,24,14489,12.3684210526316,9.79166666666667,"Low","No","Yes",-0.081235254115356,0.195551263414382,-1.45707752918533
"83",1,125,"mitsubishi","std","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2365,"ohc","<= four",122,"2bbl",3.35,3.46,8.5,88,5000,25,32,6989,9.4,7.34375,"Low","No","Yes",-0.146158856807931,-0.232720208155341,-0.885140555112589
"84",1,125,"mitsubishi","std","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2405,"ohc","<= four",122,"2bbl",3.35,3.46,8.5,88,5000,25,32,8189,9.4,7.34375,"Low","No","Yes",-0.146158856807931,-0.232720208155341,-0.885140555112589
"85",1,125,"mitsubishi","turbo","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2403,"ohc","<= four",110,"spdi",3.17,3.46,7.5,116,5500,23,30,9279,10.2173913043478,7.83333333333333,"Low","No","Yes",-0.146158856807931,-0.232720208155341,-0.885140555112589
"86",-1,137,"mitsubishi","std","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2403,"ohc","<= four",110,"spdi",3.17,3.46,7.5,116,5500,23,30,9279,10.2173913043478,7.83333333333333,"Low","No","Yes",-0.146158856807931,-0.232720208155341,-0.885140555112589
"87",1,128,"nissan","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1889,"ohc","<= four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,5499,7.58064516129032,6.35135135135135,"Low","No","Yes",-0.722355830704551,-0.994091713168194,0.299586034038081
"88",1,128,"nissan","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,2017,"ohc","<= four",103,"idi",2.99,3.47,21.9,55,4800,45,50,7099,5.22222222222222,4.7,"Low","Yes","No",-0.722355830704551,-0.994091713168194,0.299586034038081
"89",1,128,"nissan","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1918,"ohc","<= four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,6649,7.58064516129032,6.35135135135135,"Low","No","Yes",-0.722355830704551,-0.994091713168194,0.299586034038081
"90",1,122,"nissan","std","four","sedan","fwd","front",94.5,165.3,63.8,54.5,1938,"ohc","<= four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,6849,7.58064516129032,6.35135135135135,"Low","No","Yes",-0.722355830704551,-0.994091713168194,0.299586034038081
"91",1,103,"nissan","std","four","sedan","fwd","front",94.5,170.2,63.8,53.5,2024,"ohc","<= four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7349,7.58064516129032,6.35135135135135,"Low","No","Yes",-0.324698764212519,-0.994091713168194,-0.108940376013875
"92",1,128,"nissan","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1951,"ohc","<= four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7299,7.58064516129032,6.35135135135135,"Low","No","Yes",-0.722355830704551,-0.994091713168194,0.299586034038081
"93",1,128,"nissan","std","two","hatchback","fwd","front",94.5,165.6,63.8,53.3,2028,"ohc","<= four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7799,7.58064516129032,6.35135135135135,"Low","No","Yes",-0.698009479694836,-0.994091713168194,-0.190645658024267
"94",1,122,"nissan","std","four","sedan","fwd","front",94.5,165.3,63.8,54.5,1971,"ohc","<= four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7499,7.58064516129032,6.35135135135135,"Low","No","Yes",-0.722355830704551,-0.994091713168194,0.299586034038081
"95",1,103,"nissan","std","four","sedan","fwd","front",94.5,170.2,63.8,53.5,2037,"ohc","<= four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7999,7.58064516129032,6.35135135135135,"Low","No","Yes",-0.324698764212519,-0.994091713168194,-0.108940376013875
"96",2,168,"nissan","std","two","hatchback","fwd","front",95.1,162.4,63.8,53.3,2008,"ohc","<= four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,8249,7.58064516129032,6.35135135135135,"Low","No","Yes",-0.957703890465142,-0.994091713168194,-0.190645658024267
"97",0,106,"nissan","std","four","hatchback","fwd","front",97.2,173.4,65.2,54.7,2324,"ohc","<= four",120,"2bbl",3.33,3.47,8.5,97,5200,27,34,8949,8.7037037037037,6.91176470588235,"Low","No","Yes",-0.0650043534422104,-0.327891646281948,0.381291316048473
"98",0,106,"nissan","std","four","sedan","fwd","front",97.2,173.4,65.2,54.7,2302,"ohc","<= four",120,"2bbl",3.33,3.47,8.5,97,5200,27,34,9549,8.7037037037037,6.91176470588235,"Low","No","Yes",-0.0650043534422104,-0.327891646281948,0.381291316048473
"99",0,128,"nissan","std","four","sedan","fwd","front",100.4,181.7,66.5,55.1,3095,"ohc",">= five",181,"mpfi",3.43,3.27,9,152,5200,17,22,13499,13.8235294117647,10.6818181818182,"Low","No","Yes",0.608578024493273,0.29072270154099,0.544701880069254
